"","Region","Year","Gender","Name","Count"
"342","Total Belgium",1995,"Girls","Tania",29
"343","Total Belgium",1995,"Girls","Axana",29
"344","Total Belgium",1995,"Girls","Sanae",29
"345","Total Belgium",1995,"Girls","Lissa",29
"346","Total Belgium",1995,"Girls","An-Sofie",29
"347","Total Belgium",1995,"Girls","Ineke",29
"348","Total Belgium",1995,"Girls","Salomé",28
"349","Total Belgium",1995,"Girls","Clarisse",28
"350","Total Belgium",1995,"Girls","Shari",28
"351","Total Belgium",1995,"Girls","Shannon",28
"352","Total Belgium",1995,"Girls","Carolien",28
"353","Total Belgium",1995,"Girls","Inge",28
"354","Total Belgium",1995,"Girls","Lina",27
"355","Total Belgium",1995,"Girls","Babette",27
"356","Total Belgium",1995,"Girls","Jozefien",27
"357","Total Belgium",1995,"Girls","Myrthe",27
"358","Total Belgium",1995,"Girls","Youssra",27
"359","Total Belgium",1995,"Girls","Sana",27
"360","Total Belgium",1995,"Girls","Dilara",27
"361","Total Belgium",1995,"Girls","Hanane",27
"362","Total Belgium",1995,"Girls","Tatjana",27
"363","Total Belgium",1995,"Girls","Mallaury",27
"364","Total Belgium",1995,"Girls","Maëlle",26
"365","Total Belgium",1995,"Girls","Marthe",26
"366","Total Belgium",1995,"Girls","Robin",26
"367","Total Belgium",1995,"Girls","Ruth",26
"368","Total Belgium",1995,"Girls","Samira",26
"369","Total Belgium",1995,"Girls","Selin",26
"370","Total Belgium",1995,"Girls","Priscilla",26
"371","Total Belgium",1995,"Girls","Carole",26
"372","Total Belgium",1995,"Girls","Marjorie",26
"373","Total Belgium",1995,"Girls","Shauny",26
"374","Total Belgium",1995,"Girls","Davina",25
"375","Total Belgium",1995,"Girls","Linda",25
"376","Total Belgium",1995,"Girls","Odile",25
"377","Total Belgium",1995,"Girls","Anouck",25
"378","Total Belgium",1995,"Girls","Ilke",25
"379","Total Belgium",1995,"Girls","Bénédicte",25
"380","Total Belgium",1995,"Girls","Nancy",25
"381","Total Belgium",1995,"Girls","Christelle",25
"382","Total Belgium",1995,"Girls","Priscillia",25
"383","Total Belgium",1995,"Girls","Floor",24
"384","Total Belgium",1995,"Girls","Alizée",24
"385","Total Belgium",1995,"Girls","Stien",24
"386","Total Belgium",1995,"Girls","Nona",24
"387","Total Belgium",1995,"Girls","Ysaline",24
"388","Total Belgium",1995,"Girls","Josephine",24
"389","Total Belgium",1995,"Girls","Isabel",24
"390","Total Belgium",1995,"Girls","Emmanuelle",24
"391","Total Belgium",1995,"Girls","Lydie",24
"392","Total Belgium",1995,"Girls","Katrijn",24
"393","Total Belgium",1995,"Girls","Madeline",24
"394","Total Belgium",1995,"Girls","Magalie",24
"395","Total Belgium",1995,"Girls","Sigrid",24
"396","Total Belgium",1995,"Girls","Christine",24
"397","Total Belgium",1995,"Girls","Inne",24
"398","Total Belgium",1995,"Girls","Tinne",24
"399","Total Belgium",1995,"Girls","Sam",23
"400","Total Belgium",1995,"Girls","Joséphine",23
"401","Total Belgium",1995,"Girls","Christina",23
"402","Total Belgium",1995,"Girls","Salima",23
"403","Total Belgium",1995,"Girls","Inez",23
"404","Total Belgium",1995,"Girls","Laurane",23
"405","Total Belgium",1995,"Girls","Mieke",23
"406","Total Belgium",1995,"Girls","Phaedra",23
"407","Total Belgium",1995,"Girls","Steffie",23
"408","Total Belgium",1995,"Girls","Leonie",22
"409","Total Belgium",1995,"Girls","Emelie",22
"410","Total Belgium",1995,"Girls","Frauke",22
"411","Total Belgium",1995,"Girls","Liesl",22
"412","Total Belgium",1995,"Girls","Solène",22
"413","Total Belgium",1995,"Girls","Amanda",22
"414","Total Belgium",1995,"Girls","Liesa",22
"415","Total Belgium",1995,"Girls","Jodie",22
"416","Total Belgium",1995,"Girls","Liselotte",22
"417","Total Belgium",1995,"Girls","Tracy",22
"418","Total Belgium",1995,"Girls","Anne-Laure",22
"419","Total Belgium",1995,"Girls","Karlien",22
"420","Total Belgium",1995,"Girls","Liesbet",22
"421","Total Belgium",1995,"Girls","Ségolène",22
"422","Total Belgium",1995,"Girls","Séverine",22
"423","Total Belgium",1995,"Girls","Sophia",21
"424","Total Belgium",1995,"Girls","Maya",21
"425","Total Belgium",1995,"Girls","Alyssa",21
"426","Total Belgium",1995,"Girls","Merel",21
"427","Total Belgium",1995,"Girls","Leyla",21
"428","Total Belgium",1995,"Girls","Thalia",21
"429","Total Belgium",1995,"Girls","Mara",21
"430","Total Belgium",1995,"Girls","Isaline",21
"431","Total Belgium",1995,"Girls","Manou",21
"432","Total Belgium",1995,"Girls","Malika",21
"433","Total Belgium",1995,"Girls","Isabeau",21
"434","Total Belgium",1995,"Girls","Bouchra",21
"435","Total Belgium",1995,"Girls","Alyson",21
"436","Total Belgium",1995,"Girls","Romina",21
"437","Total Belgium",1995,"Girls","Ulrike",21
"438","Total Belgium",1995,"Girls","An",21
"439","Total Belgium",1995,"Girls","Assia",20
"440","Total Belgium",1995,"Girls","Maxine",20
"441","Total Belgium",1995,"Girls","Mélina",20
"442","Total Belgium",1995,"Girls","Melina",20
"443","Total Belgium",1995,"Girls","Liza",20
"444","Total Belgium",1995,"Girls","Samia",20
"445","Total Belgium",1995,"Girls","Amal",20
"446","Total Belgium",1995,"Girls","Hind",20
"447","Total Belgium",1995,"Girls","Jente",20
"448","Total Belgium",1995,"Girls","Alessandra",20
"449","Total Belgium",1995,"Girls","Yasemin",20
"450","Total Belgium",1995,"Girls","Chaima",20
"451","Total Belgium",1995,"Girls","Nawal",20
"452","Total Belgium",1995,"Girls","Emmely",20
"453","Total Belgium",1995,"Girls","Michèle",20
"454","Total Belgium",1995,"Girls","Ann",20
"455","Total Belgium",1995,"Girls","Chaïmae",20
"456","Total Belgium",1995,"Girls","Marianne",20
"457","Total Belgium",1995,"Girls","Natascha",20
"458","Total Belgium",1995,"Girls","Amira",19
"459","Total Belgium",1995,"Girls","Mona",19
